Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Houston Astros,19,2001,Houston Astros,,,1,NL,Central,93,69,0.574074074,toppct,1,Lost LDS ,n ,3-0),Enron Field,2904277,35855,5th of 16,"$60,612,667 ",106,107,
Atlanta Braves,1,2001,Atlanta Braves,,,1,NL,East,88,74,0.543209877,none,1,Lost NLCS ,n ,4-1),Turner Field,2823530,34858,6th of 16,"$91,936,166 ",102,103,
New York Yankees,15,2001,New York Yankees,,,1,AL,East,95,65,0.59375,none,1,Lost_WS ,n ,4-3),Yankee Stadium II,3264907,40811,2nd of 14,"$112,787,143 ",100,102,
Arizona Diamondbacks,29,2001,Arizona Diamondbacks,,,1,NL,West,92,70,0.567901235,worldseries,1,Won_WS ,y,4-3),Bank One Ballpark,2736451,33783,9th of 16,"$85,082,999 ",107,108,
Baltimore Orioles,9,2001,Baltimore Orioles,,,1,AL,East,63,98,0.391304348,none,4,,n,,Oriole Park at Camden Yards,3094841,38686,4th of 14,"$74,279,540 ",96,95,
Boston Red Socks,10,2001,Boston Red Sox,,,1,AL,East,82,79,0.50931677,none,2,,n ,,Fenway Park,2625333,32412,6th of 14,"$110,035,833 ",101,102,
Chicago Cubs,2,2001,Chicago Cubs,,,1,NL,Central,88,74,0.543209877,none,3,,n,,Wrigley Field,2779465,34314,8th of 16,"$64,715,833 ",95,95,
Chicago White Sox,11,2001,Chicago White Sox,,,1,AL,Central,83,79,0.512345679,none,3,,n,,Comiskey Park II,1766172,21805,12th of 14,"$65,653,667 ",103,104,
Cincinnati Reds,3,2001,Cincinnati Reds,,,1,NL,Central,66,96,0.407407407,none,5,,n,,Cinergy Field,1879757,23207,13th of 16,"$48,986,000 ",105,105,
Colorado Rockies,27,2001,Colorado Rockies,,,1,NL,West,73,89,0.450617284,none,5,,n,,Coors Field,3166821,39097,2nd of 16,"$71,541,334 ",122,122,
Detroit Tigers,13,2001,Detroit Tigers,,,1,AL,Central,66,96,0.407407407,none,4,,n,,Comerica Park,1921305,23720,9th of 14,"$53,416,167 ",95,93,
Florida Marlins,28,2001,Florida Marlins,,,1,NL,East,76,86,0.469135802,none,4,,n,,Pro Player Stadium,1261226,15765,15th of 16,"$35,762,500 ",97,97,
Kansas City Royals,21,2001,Kansas City Royals,,,1,AL,Central,65,97,0.401234568,none,5,,n,,Kauffman Stadium,1536371,18968,13th of 14,"$35,422,500 ",108,107,
Los Angeles Angels of Anaheim,17,2001,Anaheim Angels,,,2,AL,West,75,87,0.462962963,none,3,,n,,Edison Field,2000919,24703,8th of 14,"$47,735,167 ",101,101,
Los Angeles Dodgers,8,2001,Los Angeles Dodgers,,,1,NL,West,86,76,0.530864198,none,3,,n,,Dodger Stadium,3017143,37249,4th of 16,"$109,105,953 ",91,92,
Milwaukee Brewers,22,2001,Milwaukee Brewers,,,1,NL,Central,68,94,0.419753086,none,4,,n ,,Miller Park,2811041,34704,7th of 16,"$43,886,833 ",99,98,
Minnesota Twins,14,2001,Minnesota Twins,,,1,AL,Central,85,77,0.524691358,none,2,,n,,Hubert H. Humphrey Metrodome,1782929,22011,11th of 14,"$24,130,000 ",102,102,
New York Mets,20,2001,New York Mets,,,1,NL,East,82,80,0.50617284,none,3,,n,,Shea Stadium,2658330,32819,10th of 16,"$93,174,428 ",96,96,
Philadelphia Phillies,6,2001,Philadelphia Phillies,,,1,NL,East,86,76,0.530864198,none,2,,n ,,Veterans Stadium,1782054,22001,14th of 16,"$41,663,833 ",98,98,
Pittsburgh Pirates,4,2001,Pittsburgh Pirates,,,1,NL,Central,62,100,0.382716049,none,6,,n ,,PNC Park,2464870,30430,11th of 16,"$57,760,833 ",105,103,
San Diego Padres,23,2001,San Diego Padres,,,1,NL,West,79,83,0.487654321,none,4,,n,,Qualcomm Stadium,2378128,29360,12th of 16,"$39,182,833 ",92,91,
San Francisco Giants,7,2001,San Francisco Giants,,,1,NL,West,90,72,0.555555556,none,2,,n,,Pacific Bell Park,3311958,40888,1st of 16,"$63,280,167 ",92,93,
Tampa Bay Rays,30,2001,Tampa Bay Devil Rays,,,2,AL,East,62,100,0.382716049,none,5,,n,,Tropicana Field,1298365,16029,14th of 14,"$56,980,000 ",100,98,
Texas Rangers,18,2001,Texas Rangers,,,1,AL,West,73,89,0.450617284,none,4,,n,,The Ballpark in Arlington,2831021,34525,5th of 14,"$88,633,500 ",105,104,
Toronto Blue Jays,26,2001,Toronto Blue Jays,,,1,AL,East,80,82,0.49382716,none,3,,n,,SkyDome &  Estadio Hiram Bithorn,1915438,23359,10th of 14,"$76,895,999 ",103,102,
Washington Nationals,24,2001,Montreal Expos,,,2,NL,East,68,94,0.419753086,none,5,,n ,,Stade Olympique,642745,7935,16th of 16,"$35,159,500 ",102,101,
Minnesota Twins,14,2002,Minnesota Twins,,,1,AL,Central,94,67,0.583850932,none,1,Lost ALCS ,n,4-1),Hubert H. Humphrey Metrodome,1924473,23759,9th of 14,"$40,425,000 ",100,100,
Arizona Diamondbacks,29,2002,Arizona Diamondbacks,,,1,NL,West,98,64,0.604938272,none,1,Lost LDS ,n ,3-0),Bank One Ballpark,3198977,39494,2nd of 16,"$102,819,999 ",111,111,
Oakland Athletics,16,2002,Oakland Athletics,,,1,AL,West,103,59,0.635802469,none,1,Lost LDS ,n ,3-2),Network Associates Coliseum,2169811,26788,8th of 14,"$40,004,167 ",97,98,
Atlanta Braves,1,2002,Atlanta Braves,,,1,NL,East,101,59,0.63125,toppct,1,Lost LDS ,n ,3-2),Turner Field,2603484,32142,8th of 16,"$93,470,367 ",101,102,
New York Yankees,15,2002,New York Yankees,,,1,AL,East,103,58,0.639751553,toppct,1,Lost LDS ,n ,3-1),Yankee Stadium II,3465807,43323,2nd of 14,"$125,928,583 ",99,100,
St. Louis Cardinals,5,2002,St. Louis Cardinals,,,1,NL,Central,97,65,0.598765432,none,1,Lost NLCS ,n ,4-1),Busch Stadium II,3011756,37182,4th of 16,"$74,660,875 ",97,98,
San Francisco Giants,7,2002,San Francisco Giants,,,1,NL,West,95,66,0.590062112,none,2,Lost_WS ,n ,4-3),Pacific Bell Park,3253203,40163,1st of 16,"$78,299,835 ",94,95,
Los Angeles Angels of Anaheim,17,2002,Anaheim Angels,,,2,AL,West,99,63,0.611111111,worldseries,2,Won_WS ,y,4-3),Edison Field,2305547,28464,7th of 14,"$61,721,667 ",99,100,
Baltimore Orioles,9,2002,Baltimore Orioles,,,1,AL,East,67,95,0.413580247,none,4,,n,,Oriole Park at Camden Yards,2682439,33117,3rd of 14,"$64,493,487 ",96,95,
Boston Red Socks,10,2002,Boston Red Sox,,,1,AL,East,93,69,0.574074074,none,2,,n,,Fenway Park,2650862,32727,4th of 14,"$108,366,060 ",102,103,
Chicago Cubs,2,2002,Chicago Cubs,,,1,NL,Central,67,95,0.413580247,none,5,,n,,Wrigley Field,2693096,33248,7th of 16,"$75,690,833 ",98,98,
Chicago White Sox,11,2002,Chicago White Sox,,,1,AL,Central,81,81,0.5,none,2,,n,,Comiskey Park II,1676911,20703,10th of 14,"$57,052,833 ",101,102,
Cincinnati Reds,3,2002,Cincinnati Reds,,,1,NL,Central,78,84,0.481481481,none,3,,n,,Cinergy Field,1855787,22911,12th of 16,"$45,050,390 ",105,104,
Cleveland Indians,12,2002,Cleveland Indians,,,1,AL,Central,74,88,0.456790123,none,3,,n,,Jacobs Field,2616940,32308,5th of 14,"$78,909,449 ",98,97,
Colorado Rockies,27,2002,Colorado Rockies,,,1,NL,West,73,89,0.450617284,none,4,,n,,Coors Field,2737838,33800,6th of 16,"$56,851,043 ",116,116,
Detroit Tigers,13,2002,Detroit Tigers,,,1,AL,Central,55,106,0.341614907,none,5,,n,,Comerica Park,1503623,18795,12th of 14,"$55,048,000 ",95,92,
Florida Marlins,28,2002,Florida Marlins,,,1,NL,East,79,83,0.487654321,none,4,,n,,Pro Player Stadium,813118,10038,15th of 16,"$41,979,917 ",98,97,
Houston Astros,19,2002,Houston Astros,,,1,NL,Central,84,78,0.518518519,none,2,,n ,,Minute Maid Park,2517357,31078,9th of 16,"$63,448,417 ",105,106,
Kansas City Royals,21,2002,Kansas City Royals,,,1,AL,Central,62,100,0.382716049,none,4,,n,,Kauffman Stadium,1323036,16334,13th of 14,"$47,257,000 ",111,110,
Los Angeles Dodgers,8,2002,Los Angeles Dodgers,,,1,NL,West,92,70,0.567901235,none,3,,n,,Dodger Stadium,3131255,38657,3rd of 16,"$94,850,953 ",92,92,
Milwaukee Brewers,22,2002,Milwaukee Brewers,,,1,NL,Central,56,106,0.345679012,none,6,,n ,,Miller Park,1969153,24311,11th of 16,"$50,287,833 ",99,98,
New York Mets,20,2002,New York Mets,,,1,NL,East,75,86,0.465838509,none,5,,n,,Shea Stadium,2804838,34628,5th of 16,"$94,633,593 ",97,97,
Philadelphia Phillies,6,2002,Philadelphia Phillies,,,1,NL,East,80,81,0.49689441,none,3,,n ,,Veterans Stadium,1618467,20231,14th of 16,"$57,954,999 ",94,94,
Pittsburgh Pirates,4,2002,Pittsburgh Pirates,,,1,NL,Central,72,89,0.447204969,none,4,,n ,,PNC Park,1784988,22312,13th of 16,"$42,323,599 ",103,102,
San Diego Padres,23,2002,San Diego Padres,,,1,NL,West,66,96,0.407407407,none,5,,n,,Qualcomm Stadium,2220601,27415,10th of 16,"$41,425,000 ",91,90,
Seattle Mariners,25,2002,Seattle Mariners,,,1,AL,West,93,69,0.574074074,none,3,,n,,Safeco Field,3542938,43740,1st of 14,"$80,282,668 ",95,97,
Tampa Bay Rays,30,2002,Tampa Bay Devil Rays,,,2,AL,East,55,106,0.341614907,none,5,,n,,Tropicana Field,1065742,13157,14th of 14,"$34,380,000 ",99,97,
Texas Rangers,18,2002,Texas Rangers,,,1,AL,West,72,90,0.444444444,none,4,,n,,The Ballpark in Arlington,2352397,29042,6th of 14,"$105,726,122 ",107,106,
Toronto Blue Jays,26,2002,Toronto Blue Jays,,,1,AL,East,78,84,0.481481481,none,3,,n,,SkyDome,1637900,20221,11th of 14,"$76,864,333 ",104,104,
Washington Nationals,24,2002,Montreal Expos,,,2,NL,East,83,79,0.512345679,none,2,,n ,,Stade Olympique,812045,10025,16th of 16,"$38,670,500 ",103,103,
Boston Red Socks,10,2003,Boston Red Sox,,,1,AL,East,95,67,0.586419753,none,2,Lost ALCS ,n ,4-3),Fenway Park,2724165,33632,4th of 14,"$99,946,500 ",103,105,
Minnesota Twins,14,2003,Minnesota Twins,,,1,AL,Central,90,72,0.555555556,none,1,Lost LDS ,n,3-1),Hubert H. Humphrey Metrodome,1946011,24025,8th of 14,"$55,505,000 ",100,101,
Oakland Athletics,16,2003,Oakland Athletics,,,1,AL,West,96,66,0.592592593,none,1,Lost LDS ,n ,3-2),Network Associates Coliseum,2216596,27365,6th of 14,"$50,260,834 ",98,99,
San Francisco Giants,7,2003,San Francisco Giants,,,1,NL,West,100,61,0.621118012,none,1,Lost LDS ,n ,3-1),Pacific Bell Park,3264898,40307,1st of 16,"$82,852,167 ",98,99,
Atlanta Braves,1,2003,Atlanta Braves,,,1,NL,East,101,61,0.62345679,toppct,1,Lost LDS ,n ,3-2),Turner Field,2401084,29643,7th of 16,"$106,243,667 ",100,101,
Chicago Cubs,2,2003,Chicago Cubs,,,1,NL,Central,88,74,0.543209877,none,1,Lost NLCS ,n ,4-3),Wrigley Field,2962630,36576,3rd of 16,"$79,868,333 ",101,101,
New York Yankees,15,2003,New York Yankees,,,1,AL,East,101,61,0.62345679,toppct,1,Lost_WS ,n ,4-2),Yankee Stadium II,3465600,42263,1st of 14,"$152,749,814 ",97,98,
Florida Marlins,28,2003,Florida Marlins,,,1,NL,East,91,71,0.561728395,worldseries,2,Won_WS ,y,4-2),Pro Player Stadium,1303215,16089,15th of 16,"$49,450,000 ",98,98,
Arizona Diamondbacks,29,2003,Arizona Diamondbacks,,,1,NL,West,84,78,0.518518519,none,3,,n,,Bank One Ballpark,2805542,34636,5th of 16,"$80,657,000 ",109,108,
Baltimore Orioles,9,2003,Baltimore Orioles,,,1,AL,East,71,91,0.438271605,none,4,,n,,Oriole Park at Camden Yards,2454523,30303,5th of 14,"$73,877,500 ",99,99,
Chicago White Sox,11,2003,Chicago White Sox,,,1,AL,Central,86,76,0.530864198,none,2,,n,,U.S. Cellular Field,1939524,23945,9th of 14,"$51,010,000 ",102,102,
Cincinnati Reds,3,2003,Cincinnati Reds,,,1,NL,Central,69,93,0.425925926,none,5,,n,,Great American Ball Park,2355259,29077,8th of 16,"$59,355,667 ",96,95,
Cleveland Indians,12,2003,Cleveland Indians,,,1,AL,Central,68,94,0.419753086,none,4,,n,,Jacobs Field,1730002,21358,12th of 14,"$48,584,834 ",97,96,
Colorado Rockies,27,2003,Colorado Rockies,,,1,NL,West,74,88,0.456790123,none,4,,n,,Coors Field,2334085,28816,9th of 16,"$67,179,667 ",116,115,
Detroit Tigers,13,2003,Detroit Tigers,,,1,AL,Central,43,119,0.265432099,none,5,,n,,Comerica Park,1368245,16892,13th of 14,"$49,168,000 ",95,93,
Houston Astros,19,2003,Houston Astros,,,1,NL,Central,87,75,0.537037037,none,2,,n,,Minute Maid Park,2454241,30299,6th of 16,"$71,040,000 ",102,103,
Kansas City Royals,21,2003,Kansas City Royals,,,1,AL,Central,83,79,0.512345679,none,3,,n,,Kauffman Stadium,1779895,22249,10th of 14,"$40,518,000 ",108,107,
Los Angeles Angels of Anaheim,17,2003,Anaheim Angels,,,2,AL,West,77,85,0.475308642,none,3,,n,,Edison Field,3061094,37330,3rd of 14,"$79,031,667 ",97,98,
Los Angeles Dodgers,8,2003,Los Angeles Dodgers,,,1,NL,West,85,77,0.524691358,none,2,,n,,Dodger Stadium,3138626,38748,2nd of 16,"$105,872,620 ",94,94,
Milwaukee Brewers,22,2003,Milwaukee Brewers,,,1,NL,Central,68,94,0.419753086,none,6,,n ,,Miller Park,1700354,20992,13th of 16,"$40,627,000 ",100,98,
New York Mets,20,2003,New York Mets,,,1,NL,East,66,95,0.409937888,none,5,,n,,Shea Stadium,2140599,26757,11th of 16,"$117,176,429 ",98,97,
Philadelphia Phillies,6,2003,Philadelphia Phillies,,,1,NL,East,86,76,0.530864198,none,3,,n ,,Veterans Stadium,2259948,27901,10th of 16,"$70,780,000 ",93,93,
Pittsburgh Pirates,4,2003,Pittsburgh Pirates,,,1,NL,Central,75,87,0.462962963,none,4,,n ,,PNC Park,1636751,20207,14th of 16,"$54,812,429 ",102,102,
San Diego Padres,23,2003,San Diego Padres,,,1,NL,West,64,98,0.395061728,none,5,,n,,Qualcomm Stadium,2030084,25063,12th of 16,"$45,210,000 ",92,91,
Seattle Mariners,25,2003,Seattle Mariners,,,1,AL,West,93,69,0.574074074,none,2,,n,,Safeco Field,3268509,40352,2nd of 14,"$86,959,167 ",95,95,
St. Louis Cardinals,5,2003,St. Louis Cardinals,,,1,NL,Central,85,77,0.524691358,none,3,,n,,Busch Stadium II,2910386,35931,4th of 16,"$83,786,666 ",96,97,
Tampa Bay Rays,30,2003,Tampa Bay Devil Rays,,,2,AL,East,63,99,0.388888889,none,5,,n,,Tropicana Field,1058695,13070,14th of 14,"$19,630,000 ",97,95,
Texas Rangers,18,2003,Texas Rangers,,,1,AL,West,71,91,0.438271605,none,4,,n,,The Ballpark in Arlington,2094394,25857,7th of 14,"$103,491,667 ",111,111,
Toronto Blue Jays,26,2003,Toronto Blue Jays,,,1,AL,East,86,76,0.530864198,none,3,,n,,SkyDome,1799458,22216,11th of 14,"$51,269,000 ",104,104,
Washington Nationals,24,2003,Montreal Expos,,,2,NL,East,83,79,0.512345679,none,4,,n ,,Stade Olympique &  Estadio Hiram Bithorn,1025639,12662,16th of 16,"$51,948,500 ",105,105,
New York Yankees,15,2004,New York Yankees,,,1,AL,East,101,61,0.62345679,toppct,1,Lost ALCS ,n ,4-3),Yankee Stadium II,3775292,46609,1st of 14,"$184,193,950 ",97,98,
Atlanta Braves,1,2004,Atlanta Braves,,,1,NL,East,96,66,0.592592593,none,1,Lost LDS ,n ,3-2),Turner Field,2327565,28735,10th of 16,"$90,182,500 ",100,101,
Los Angeles Angels of Anaheim,17,2004,Anaheim Angels,,,2,AL,West,92,70,0.567901235,none,1,Lost LDS ,n ,3-0),Angel Stadium of Anaheim,3375677,41675,2nd of 14,"$100,534,667 ",97,97,
Los Angeles Dodgers,8,2004,Los Angeles Dodgers,,,1,NL,West,93,69,0.574074074,none,1,Lost LDS ,n ,3-1),Dodger Stadium,3488283,43065,1st of 16,"$92,902,001 ",95,95,
Minnesota Twins,14,2004,Minnesota Twins,,,1,AL,Central,92,70,0.567901235,none,1,Lost LDS ,n,3-1),Hubert H. Humphrey Metrodome,1911490,23599,10th of 14,"$53,890,000 ",102,103,
Houston Astros,19,2004,Houston Astros,,,1,NL,Central,92,70,0.567901235,none,2,Lost NLCS ,n ,4-3),Minute Maid Park,3087872,38122,5th of 16,"$75,397,000 ",101,102,
St. Louis Cardinals,5,2004,St. Louis Cardinals,,,1,NL,Central,105,57,0.648148148,toppct,1,Lost_WS ,n ,4-0),Busch Stadium II,3048427,37635,6th of 16,"$84,340,333 ",99,100,
Boston Red Socks,10,2004,Boston Red Sox,,,1,AL,East,98,64,0.604938272,worldseries,2,Won_WS ,y,4-0),Fenway Park,2837294,35028,4th of 14,"$127,298,500 ",105,106,
Arizona Diamondbacks,29,2004,Arizona Diamondbacks,,,1,NL,West,51,111,0.314814815,none,5,,n,,Bank One Ballpark,2519560,31106,8th of 16,"$69,780,750 ",107,105,
Baltimore Orioles,9,2004,Baltimore Orioles,,,1,AL,East,78,84,0.481481481,none,3,,n,,Oriole Park at Camden Yards,2744018,33877,5th of 14,"$51,623,333 ",99,98,
Chicago Cubs,2,2004,Chicago Cubs,,,1,NL,Central,89,73,0.549382716,none,3,,n,,Wrigley Field,3170154,38660,4th of 16,"$90,560,000 ",102,103,
Chicago White Sox,11,2004,Chicago White Sox,,,1,AL,Central,83,79,0.512345679,none,2,,n,,U.S. Cellular Field,1930537,23834,8th of 14,"$65,212,500 ",102,102,
Cincinnati Reds,3,2004,Cincinnati Reds,,,1,NL,Central,76,86,0.469135802,none,4,,n,,Great American Ball Park,2287250,28238,12th of 16,"$46,915,250 ",99,98,
Cleveland Indians,12,2004,Cleveland Indians,,,1,AL,Central,80,82,0.49382716,none,3,,n,,Jacobs Field,1814401,22400,12th of 14,"$34,319,300 ",94,94,
Colorado Rockies,27,2004,Colorado Rockies,,,1,NL,West,68,94,0.419753086,none,4,,n,,Coors Field,2338069,28865,9th of 16,"$65,445,167 ",114,113,
Detroit Tigers,13,2004,Detroit Tigers,,,1,AL,Central,72,90,0.444444444,none,4,,n,,Comerica Park,1917004,23667,9th of 14,"$46,832,000 ",96,95,
Florida Marlins,28,2004,Florida Marlins,,,1,NL,East,83,79,0.512345679,none,3,,n ,,Pro Player Stadium &  U.S. Cellular Field,1723105,21539,14th of 16,"$42,143,042 ",95,95,
Kansas City Royals,21,2004,Kansas City Royals,,,1,AL,Central,58,104,0.358024691,none,5,,n,,Kauffman Stadium,1661478,20768,13th of 14,"$47,609,000 ",103,102,
Milwaukee Brewers,22,2004,Milwaukee Brewers,,,1,NL,Central,67,94,0.416149068,none,6,,n ,,Miller Park,2062382,25462,13th of 16,"$27,528,500 ",101,100,
New York Mets,20,2004,New York Mets,,,1,NL,East,71,91,0.438271605,none,4,,n,,Shea Stadium,2318951,28629,11th of 16,"$102,035,970 ",99,99,
Oakland Athletics,16,2004,Oakland Athletics,,,1,AL,West,91,71,0.561728395,none,2,,n ,,Network Associates Coliseum,2201516,27179,7th of 14,"$59,425,667 ",98,99,
Philadelphia Phillies,6,2004,Philadelphia Phillies,,,1,NL,East,86,76,0.530864198,none,2,,n ,,Citizens Bank Park,3250092,40125,2nd of 16,"$93,219,167 ",104,105,
Pittsburgh Pirates,4,2004,Pittsburgh Pirates,,,1,NL,Central,72,89,0.447204969,none,5,,n ,,PNC Park,1580031,19750,15th of 16,"$32,227,929 ",100,99,
San Diego Padres,23,2004,San Diego Padres,,,1,NL,West,87,75,0.537037037,none,3,,n,,PetCo Park,3016752,37244,7th of 16,"$55,384,833 ",90,90,
San Francisco Giants,7,2004,San Francisco Giants,,,1,NL,West,91,71,0.561728395,none,2,,n,,SBC Park,3256854,39718,3rd of 16,"$82,019,166 ",101,101,
Seattle Mariners,25,2004,Seattle Mariners,,,1,AL,West,63,99,0.388888889,none,4,,n,,Safeco Field,2940731,35863,3rd of 14,"$81,515,834 ",98,97,
Tampa Bay Rays,30,2004,Tampa Bay Devil Rays,,,2,AL,East,70,91,0.434782609,none,4,,n,,Tropicana Field &  Tokyo Dome,1274911,15936,14th of 14,"$29,856,667 ",98,96,
Texas Rangers,18,2004,Texas Rangers,,,1,AL,West,89,73,0.549382716,none,3,,n,,The Ballpark in Arlington,2513685,31033,6th of 14,"$55,050,417 ",109,108,
Toronto Blue Jays,26,2004,Toronto Blue Jays,,,1,AL,East,67,94,0.416149068,none,5,,n,,SkyDome,1900041,23457,11th of 14,"$50,017,000 ",104,104,
Washington Nationals,24,2004,Montreal Expos,,,2,NL,East,67,95,0.413580247,none,5,,n ,,Stade Olympique &  Estadio Hiram Bithorn,749550,9369,16th of 16,"$41,197,500 ",105,105,
Los Angeles Angels of Anaheim,17,2005,Los Angeles Angels of Anaheim,LAA,,1,AL,West,95,67,0.586419753,none,1,Lost ALCS ,n ,4-1),Angel Stadium of Anaheim,3404686,42033,2nd of 14,"$94,867,822 ",97,98,
Atlanta Braves,1,2005,Atlanta Braves,,,1,NL,East,90,72,0.555555556,none,1,Lost LDS ,n ,3-1),Turner Field,2521167,31126,10th of 16,"$86,457,302 ",100,101,
Boston Red Socks,10,2005,Boston Red Sox,,,1,AL,East,95,67,0.586419753,none,2,Lost LDS ,n ,3-0),Fenway Park,2847888,35159,3rd of 14,"$123,505,125 ",104,104,
New York Yankees,15,2005,New York Yankees,,,1,AL,East,95,67,0.586419753,none,1,Lost LDS ,n ,3-2),Yankee Stadium II,4090696,50502,1st of 14,"$208,306,817 ",97,98,
San Diego Padres,23,2005,San Diego Padres,,,1,NL,West,82,80,0.50617284,none,1,Lost LDS ,n,3-0),PetCo Park,2869787,35429,5th of 16,"$63,290,833 ",91,92,
St. Louis Cardinals,5,2005,St. Louis Cardinals,,,1,NL,Central,100,62,0.617283951,toppct,1,Lost NLCS ,n ,4-2),Busch Stadium II,3538988,43691,2nd of 16,"$92,106,833 ",100,101,
Houston Astros,19,2005,Houston Astros,,,1,NL,Central,89,73,0.549382716,none,2,Lost_WS ,n ,4-0),Minute Maid Park,2804760,34627,7th of 16,"$76,779,000 ",100,101,
Chicago White Sox,11,2005,Chicago White Sox,,,1,AL,Central,99,63,0.611111111,both,1,Won_WS ,y,4-0),U.S. Cellular Field,2342833,28924,7th of 14,"$75,178,000 ",103,103,
Arizona Diamondbacks,29,2005,Arizona Diamondbacks,,,1,NL,West,77,85,0.475308642,none,2,,n,,Bank One Ballpark,2059424,25425,12th of 16,"$62,329,166 ",105,103,
Baltimore Orioles,9,2005,Baltimore Orioles,,,1,AL,East,74,88,0.456790123,none,4,,n,,Oriole Park at Camden Yards,2624740,32404,5th of 14,"$73,914,333 ",99,99,
Chicago Cubs,2,2005,Chicago Cubs,,,1,NL,Central,79,83,0.487654321,none,4,,n,,Wrigley Field,3099992,38272,4th of 16,"$87,032,933 ",104,104,
Cincinnati Reds,3,2005,Cincinnati Reds,,,1,NL,Central,73,89,0.450617284,none,5,,n,,Great American Ball Park,1943067,23696,13th of 16,"$61,892,583 ",101,100,
Cleveland Indians,12,2005,Cleveland Indians,,,1,AL,Central,93,69,0.574074074,none,2,,n,,Jacobs Field,2013763,24861,12th of 14,"$41,502,500 ",96,96,
Colorado Rockies,27,2005,Colorado Rockies,,,1,NL,West,67,95,0.413580247,none,5,,n,,Coors Field,1914389,23634,14th of 16,"$47,839,000 ",113,112,
Detroit Tigers,13,2005,Detroit Tigers,,,1,AL,Central,71,91,0.438271605,none,4,,n,,Comerica Park,2024431,24993,10th of 14,"$69,092,000 ",98,98,
Florida Marlins,28,2005,Florida Marlins,,,1,NL,East,83,79,0.512345679,none,3,,n ,,Dolphins Stadium,1852608,22872,15th of 16,"$60,408,834 ",94,94,
Kansas City Royals,21,2005,Kansas City Royals,,,1,AL,Central,56,106,0.345679012,none,5,,n,,Kauffman Stadium,1371181,16928,13th of 14,"$36,881,000 ",101,99,
Los Angeles Dodgers,8,2005,Los Angeles Dodgers,,,1,NL,West,71,91,0.438271605,none,4,,n,,Dodger Stadium,3603646,44489,1st of 16,"$83,039,000 ",97,98,
Milwaukee Brewers,22,2005,Milwaukee Brewers,,,1,NL,Central,81,81,0.5,none,3,,n ,,Miller Park,2211023,27297,11th of 16,"$39,934,833 ",101,101,
Minnesota Twins,14,2005,Minnesota Twins,,,1,AL,Central,83,79,0.512345679,none,3,,n,,Hubert H. Humphrey Metrodome,2034243,25114,9th of 14,"$56,186,000 ",102,102,
New York Mets,20,2005,New York Mets,,,1,NL,East,83,79,0.512345679,none,3,,n,,Shea Stadium,2829929,34937,6th of 16,"$101,305,821 ",97,98,
Oakland Athletics,16,2005,Oakland Athletics,,,1,AL,West,88,74,0.543209877,none,2,,n ,,McAfee Coliseum,2109118,26038,8th of 14,"$55,425,762 ",100,101,
Philadelphia Phillies,6,2005,Philadelphia Phillies,,,1,NL,East,88,74,0.543209877,none,2,,n ,,Citizens Bank Park,2665304,32905,9th of 16,"$95,522,000 ",104,105,
Pittsburgh Pirates,4,2005,Pittsburgh Pirates,,,1,NL,Central,67,95,0.413580247,none,6,,n ,,PNC Park,1817245,22435,16th of 16,"$38,133,000 ",100,99,
San Francisco Giants,7,2005,San Francisco Giants,,,1,NL,West,75,87,0.462962963,none,3,,n,,SBC Park,3181023,39272,3rd of 16,"$90,199,500 ",101,101,
Seattle Mariners,25,2005,Seattle Mariners,,,1,AL,West,69,93,0.425925926,none,4,,n,,Safeco Field,2725459,33648,4th of 14,"$87,754,334 ",96,95,
Tampa Bay Rays,30,2005,Tampa Bay Devil Rays,,,2,AL,East,67,95,0.413580247,none,5,,n,,Tropicana Field,1141669,14095,14th of 14,"$29,679,067 ",100,99,
